city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
karachi,2.1 Crore,"Korangi - Sector 43-B, Korangi",4.0,4.0,120 Sq. Yd.,"Beautiful Fully Furnished House For Sale In Korangi Sector 43-B, Karachi",21000000.0,4.74,Korangi - Sector 43-B,Korangi,4430379.75
karachi,14 Crore,"DHA Phase 4, DHA Defence",5.0,5.0,300 Sq. Yd.,300 Yards Brand New West Open Bungalow For Sale | DHA Phase 4 Karachi,140000000.0,11.86,DHA Phase 4,DHA Defence,11804384.49
karachi,8 Crore,"Clifton - Block 9, Clifton",3.0,4.0,467 Sq. Yd.,4200 Sq Ft Apartment With Private Roof | Metro Central Plaza Clifton,80000000.0,18.46,Clifton - Block 9,Clifton,4333694.47
karachi,7.15 Crore,"Askari 6, Malir Cantonment",5.0,6.0,375 Sq. Yd.,House For Sale,71500000.0,14.83,Askari 6,Malir Cantonment,4821308.16
karachi,3.5 Crore,"HMR Waterfront, DHA Phase 8",2.0,2.0,100 Sq. Yd.,896 Square Feet Spacious Flat Is Available In HMR Waterfront For Sale,35000000.0,3.95,HMR Waterfront,DHA Phase 8,8860759.49
karachi,42 Crore,"DHA Phase 8, DHA Defence",6.0,6.0,666 Sq. Yd.,Become Owner Of Your House Today Which Is Centrally Located In DHA Phase 8 In Karachi,420000000.0,26.33,DHA Phase 8,DHA Defence,15951386.25
karachi,42 Crore,"DHA Phase 8, DHA Defence",6.0,6.0,666 Sq. Yd.,Brand New Bungalow For Sale,420000000.0,26.33,DHA Phase 8,DHA Defence,15951386.25
karachi,2.5 Crore,"Scheme 33 - Sector 38-A, Scheme 33",5.0,4.0,120 Sq. Yd.,Sale A House In Karachi Prime Location,25000000.0,4.74,Scheme 33 - Sector 38-A,Scheme 33,5274261.6
karachi,11.5 Crore,"DHA Phase 7, DHA Defence",5.0,7.0,500 Sq. Yd.,Owner Built Priced To Sell 500 Yards Bungalow for Sale in DHA Phase 7,115000000.0,19.77,DHA Phase 7,DHA Defence,5816894.28
karachi,13.25 Crore,"DHA Phase 8, DHA Defence",6.0,7.0,500 Sq. Yd.,Priced To Sell Owner Built Slightly Used 500 Yards Bungalow For Sale In DHA Phase 8 Karachi,132500000.0,19.77,DHA Phase 8,DHA Defence,6702073.85
karachi,4.85 Crore,"Askari 5 - Sector J, Askari 5",4.0,4.0,322 Sq. Yd.,2900 Square Feet Flat In Askari 5 - Sector J For sale,48500000.0,12.73,Askari 5 - Sector J,Askari 5,3809897.88
karachi,3.8 Crore,"Askari 6, Malir Cantonment",4.0,4.0,322 Sq. Yd.,Buy A Flat Of 2900 Square Feet In Askari 6,38000000.0,12.73,Askari 6,Malir Cantonment,2985074.63
karachi,3.95 Crore,"Askari 6, Malir Cantonment",4.0,4.0,322 Sq. Yd.,Askari 6 Flat For sale Sized 2900 Square Feet,39500000.0,12.73,Askari 6,Malir Cantonment,3102906.52
karachi,1.39 Crore,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",2.0,2.0,111 Sq. Yd.,PRIME LOCATION APARTMENT GULSHAN-E-IQBAL BLOCK 3 NER GULSHAN CHORANGI,13899999.999999998,4.39,Gulshan-e-Iqbal - Block 3,Gulshan-e-Iqbal,3166287.02
karachi,3.4 Crore,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",4.0,4.0,240 Sq. Yd.,BRAND NEW ULTRA MODREN STYLE PORTION IN PRIME LOCATION OF GULSHAN-E-IQBAL,34000000.0,9.49,Gulshan-e-Iqbal - Block 2,Gulshan-e-Iqbal,3582718.65
karachi,3.75 Crore,"Askari 6, Malir Cantonment",4.0,4.0,333 Sq. Yd.,"Flat Of 3000 Square Feet Is Available For sale In Askari 6, Karachi",37500000.0,13.17,Askari 6,Malir Cantonment,2847380.41
karachi,6.2 Crore,"Askari 6, Malir Cantonment",5.0,5.0,300 Sq. Yd.,Ideal West Open House In Karachi Available For Rs. 62000000,62000000.0,11.86,Askari 6,Malir Cantonment,5227655.99
karachi,6.25 Crore,"Askari 6, Malir Cantonment",5.0,5.0,300 Sq. Yd.,The Crown Jewel of Askari 6 | Dual-Front Corner villa,62500000.0,11.86,Askari 6,Malir Cantonment,5269814.5
karachi,6.21 Crore,"Askari 6, Malir Cantonment",5.0,5.0,300 Sq. Yd.,The Airy Oasis West Open Luxury In Askari 6,62100000.0,11.86,Askari 6,Malir Cantonment,5236087.69
karachi,6.1 Crore,"Askari 6, Malir Cantonment",5.0,5.0,300 Sq. Yd.,"The Suburban Standard | Premium 6.1 Cr Family Home, House For Sale",61000000.0,11.86,Askari 6,Malir Cantonment,5143338.95
